し,タイトル,作者・画,作者・原作,掲載誌,13093,完結,ジャンル,タグ,他メディア
あのこにせんぱーせんと,あのこに1000％,北川みゆき,,,5,,恋愛,,
あのやまこえて,あの山越えて,夢路行 ,,フォアミセス,11,,恋愛,,
あひるのそら,あひるの空,日向武史,,週刊少年マガジン,33,,スポーツ ドラマ,バスケットボール,
あぷさらす,アプサラス ,深山雪男,安部譲二,ヤングサンデー,8,,ドラマ,,
あぶさん,あぶさん,水島新司,,,99,,スポーツ ドラマ,野球,
あぶないはいひーる,あ・ぶ・な・いハイヒール,佐香厚子 ,,,7,,恋愛,,
あぶれもん,あぶれもん,嶺岸信明 ,来賀友志,,4,,ドラマ,麻雀,
あぷろーずかっさい,アプローズ-喝采-,有吉京子 ,,,6,,恋愛,,
あべのせいめい,安倍晴明,真崎春望 ,,ほんとうに怖い童話,3,,歴史,平安時代 陰陽師,
あほうどりのとまりぎ,高井研一郎 ,やまさき十三,,,3,,スポーツ コメディー,ゴルフ,
あぽろのうた,アポロの歌,,,,3,完結,恋愛,,
あほんだら,あほんだら,こしばしげる ,,ヤングチャンピオン,2,,学園 コメディー,,
あほんだら,あほんだら,こしばしげる,,ヤングチャンピオン,1,,,,
あまいあくまがわらう,甘い悪魔が笑う,鳥海ペドロ,,	なかよし,2,,恋愛,,
あまくみんなよ,甘くみんなよ！,森素子 ,,,8,,ドラマ,警察 刑事,
